"Timestamp","What do you study?","What is your profession?","Since how many semesters have you been studying?","Why did you choose the lecture MSD? ","How many hours per week do you spend on a homework?","Are you satisfied with the topics taught in the lecture?","What did you miss in the lecture? ","Reflect on the repository mining project (topic selection, were your expectations fulfilled, learnings, etc.)","Why do you think that the weekly exercise sheets were a good preparation for the projects or not?","What kind of extra material did you use to solve the weekly homeworks and the project?","Do you intend to use the topics you learned outside of the course? [Descriptive Statistics]","Do you intend to use the topics you learned outside of the course? [Data Mining]","Do you intend to use the topics you learned outside of the course? [Explorative Analysis]","Do you intend to use the topics you learned outside of the course? [Prediction model]","Do you intend to use the topics you learned outside of the course? [Natural Language Processing]","Do you intend to use the topics you learned outside of the course? [Python]","Do you intend to use the topics you learned outside of the course? [Jupyter Notebook]","Do you intend to use the topics you learned outside of the course? [Experimentation]","Do you intend to use the topics you learned outside of the course? [Surveys]","Rate the difficulty of the lecture","What did you like in the course?","What did you not like in the course?","How do you agree with the  following statement: The topics taught in the lecture can be applied in various application areas","What would you suggest for the improvement of the lecture?","Would you attend this course again?","Would you recommend this course to others?"
"2018/12/06 8:24:20 PM MEZ","Bachelor Computer Science","","5 semesters","Interesting topic and good future work perspectives","2-3 hours","Yes","","Better topics would be better. More description of our results should have been done","Yes because you had to do it on your own","Internet","Already used","Already used","Already used","Already used","No, I won't use it","Already used","Already used","Unsure","No, I won't use it","3","good explanations","Datasources don't have good access methods","Yes, since data amount is growing and powerful analysis will be needed. ","","Yes","Yes"
"2018/12/06 8:45:28 PM MEZ","Bachelor Computer Science","Student","more","Because there aren't enough elective courses and you are basically forced to apply to every single one of them. That's a nice system. 

There isn't really any decent way (at least one that I know of) to judge the quality of an elective course in advance outside of word of mouth from students who visited it in a previous semester.
I would personally recommend this one, though. ","6-7 hours","Yes","","The topic we chose worked out well and delivered deep enough data for us to make some meaningful statements based on it. Working on the project also demonstrated that you need to properly understand your data-set to not end up producing nonsensical results.

It was also entertaining to see how easy it is to change the outcome of your analysis simply by changing a couple of variables in your definitions and search terms - I'm sure there is some overused quote about statistics regarding this phenomena. ","There were a lot of things on the Homework sheets (as well as the .ipynb files from the lecture itself) offered many examples in how to properly represent and work with your data - e.g. stuff like the different Graphs, setting up a prediction model, accessing and loading files. ","Documentations of the tools/apis we used and whatever Google threw at me.","Intend to use","Intend to use","Unsure","Unsure","No, I won't use it","Already used","Already used","Unsure","Unsure","4","I enjoy that there are ""hands on"" sections where actual code is being used rather than the usual procedure of throwing random amounts of theory at students which sometimes has the strange habit of only making sense after you already understood the topic itself.","Listening to 15+ student presentations in a row which share the same theme (and often times even the same exact topic) can get a bit tiresome. ","Analyzing and presenting data is something you probably need to do in every reputable field of scientific work.","","Yes","Yes"
"2018/12/06 11:15:10 PM MEZ","Bachelor Computer Science","","5 semesters","I chose MSD because it combines many different aspects like machine learning, descriptive analysis, NLP, .... Additionally, I think it is very interesting to be able to measure and compare different approaches, especially in the context of software development, which is what this course teaches.","4-5 hours","Yes","","The repository mining project was very interesting. The only problem was that the stackoverflow and the github api aren't well suited for repository mining because they both have a limit and the timeout of up to one day is quite high.","The weekly exercises helped a lot since most of the things were applicable very similar to the examples in the weekly homeworks.","I used mainly the documentation of the different python modules and the lecture slides to make sure that things are done properly.","Already used","Intend to use","Already used","Intend to use","Intend to use","Already used","Already used","Intend to use","Intend to use","3","The projects are a nice to have feature since they provide the ability to apply the learned material in a more exhaustive way.","Nothing","I fully agree with this statement.","","Yes","Yes"
"2018/12/07 8:09:12 AM MEZ","Bachelor Computer Science","","more","I needed one module for the BSc, and this was the most interesting module for me ","6-7 hours","Yes","","really interesting topics, learned a lot ","they were very helpful ","mainly stackoverflow","Already used","Unsure","Unsure","Intend to use","No, I won't use it","Already used","Already used","Intend to use","Intend to use","3","teaching and demos were very good and interesting","nothing","I agree with it","","Yes","Yes"
"2018/12/07 8:28:40 AM MEZ","Bachelor Computer Science","Student","more","i thought it could be interesting","4-5 hours","Yes","","i liked the topic selection, the data mining process was annoying","yes","google","No, I won't use it","No, I won't use it","No, I won't use it","No, I won't use it","Unsure","Already used","Unsure","No, I won't use it","No, I won't use it","3","the topics were not monoton","the time of the lecture, it was hard to stay awake","i fully agree","not every group should have presented its topic in one lecture, it was too long","Yes","Yes"
"2018/12/07 10:22:31 AM MEZ","Bachelor Computer Science","Backend Developer","5 semesters","Mainly because of Prof. Felderer, but also because I wanted to learn more about how to process data","more than 7 hours","Yes","More instructions for the projects.","Topic selection: satisfied
Expectations fulfilled: yes, we found very interesting results
Learnings: it was ok","I think they were quite a good preparation, we could use the homeworks as look up for some tasks of the project","Stackoverflow","Already used","Already used","Unsure","No, I won't use it","Already used","Already used","No, I won't use it","No, I won't use it","No, I won't use it","3","We learned a lot in a very short time","The projects require too much time regarding the 2 ects for the PS","Data analysis is very important nowadays when developing software, so yes I agree with the statement","Only give 2 projects with a longer due date and specify the requirements in more detail","Yes","Yes"
"2018/12/07 9:14:59 PM MEZ","Bachelor Computer Science","","more","To get an insight in Statistical Data Analysis","4-5 hours","Yes","","It was good to have the opportunity to choose between many topics. Therefore we also heard different results at the presentations and learned more about the whole project.","They were good to get used to python (for statistics). U also learned how to make  charts etc., which was important for the projects.","The internet gave many options for extra material.","Intend to use","Unsure","Unsure","Intend to use","Unsure","No, I won't use it","Intend to use","Intend to use","Intend to use","3","The projects so far, because you can learn a lot from them.","Actually only that it takes place so late.","They can, because data analysis is important in many application areas (f.e. also to ensure software quality)","It is difficult, but maybe it could take place earlier.","Yes","Yes"
"2018/12/08 9:17:17 AM MEZ","Bachelor Computer Science","Professional Potato and freelance Editor","more","Sounded interesting and was the only course I was accepted in.","6-7 hours","Yes","Not really anything. Everything was nicely covered. From theory to actual practices.","It was a lot more difficult than expected, BUT also showed me how open our information is. The fact that you can get millions of user data with just a few hundred lines of code is a bit scary.","Somewhat, although not that much. Most was just googling and trial and error concept.","Your friend and helper, StackOverflow, friends and just research.","Intend to use","Already used","Intend to use","Unsure","Intend to use","Already used","Intend to use","Already used","Already used","4","Everything honestly. Seriously interesting topic.","It's a bit much in the beginning. But that is normal.","Definitely. You can always do surveys or look through data of people to figure out what you need to do.","Maybe explain some examples with Facebook or Google. The severity of how amazing but also horrifying data mining is, should be displayed.","Yes","Yes"
"2018/12/08 9:03:59 PM MEZ","Bachelor Computer Science","Web developer","4 semesters","Because it sounds like an interesting elective module","6-7 hours","Yes","None","It would be also a good idea if there was the possibility to choose an abitrary API for example also of other topics","They were good guided tasks","StackOverflow and Python documentation","Already used","Intend to use","Intend to use","Intend to use","Intend to use","Intend to use","Intend to use","Unsure","Intend to use","2","The lectures are well prepared and jupyter notebook is an easy and efficient way to present assignments","Hypothesis testing was not clearly explained","Analyzing data is in all fields an important topic and therefore we learned valuable skills for our later career","To shorten the presentation only let groups present once in the first week, once in second and one final presentation and not all in all weeks and all projects","Yes","Yes"
"2018/12/10 9:47:24 AM MEZ","Bachelor Computer Science","","more","because it was the election course i was interested most","6-7 hours","Yes","","yes, my expectations were fulfilled","yes but not for project 2 (hypothesis testing, ...)","manual pages (stackAPI, githubAPI, plotly, ...) and the supplied notebook files","Intend to use","Unsure","Unsure","Intend to use","Unsure","Already used","Already used","Unsure","Unsure","3","i liked most of the topics","nothing","fully agree","","Yes","Yes"
"2018/12/10 10:27:06 AM MEZ","Bachelor Computer Science","","more","I still needed an elective module and this one sounded interesting","2-3 hours","Yes","","I really liked to get some practice with the topics that were previously discussed in the lecture. My expectations were fulfilled and I got to know the StackAPI a lot better. ","It was good to get an overview of the basic concepts that were later applied in the projects","Mostly StackOverflow and some online lectures on machine learning. And the documentation of the different python libraries that were used","Intend to use","Intend to use","Intend to use","Intend to use","Unsure","Already used","Intend to use","Unsure","Unsure","4","The practical approach to most topics. We did not only learn the theory but got to apply that knowledge in good examples.","Sometime the time was a little short to finish the lecture slides with examples.","Yes","","Yes","Yes"
"2018/12/10 10:38:28 AM MEZ","Bachelor Computer Science","","more","I was interested in data analyzing visualizing and the subject sounded interesting.","2-3 hours","Yes","","It was interesting to see how we can get all the data we needed from the API but it was also several time pretty annoying to wait so we could download the data because we were blocked for a period of time.","The homework exercises were a good preparation because most of the topics were covered in the exercises we needed in the projects.","To solve the homework exercises I did not need any other material. For solving the projects I used Stackoverflow and the documentation of the individual topic/tool I needed. But the slides were also a great help.","Intend to use","Intend to use","Intend to use","Unsure","Already used","Already used","Intend to use","Intend to use","Intend to use","2","That I have seen another different side of computer science and I was able to learn how to work with big data sets and to visualize them. And great explanations by the teachers.","For the data mining project we had a bit less time, when we got blocked, so it was not that easy to get all the data for the course.","I agree.","More hints how to avoid beeing blocked during data mining.","Yes","Yes"
"2018/12/10 11:21:44 AM MEZ","Bachelor Computer Science","Student","more","I needed an election course, which is different from the classic each-semester-same courses","2-3 hours","Yes","","Yes it was a nice project","Yes of course","I used the internet for better understanding the machine learning staff","Unsure","Unsure","No, I won't use it","Unsure","Intend to use","Already used","Intend to use","No, I won't use it","No, I won't use it","3","Projects","The presentation of the process of the project of each group was boring. Maybe choose only 4-5 groups to present.","Yes that is right. But you need the interest","No lecture exam, but only projects","Yes","Yes"
"2018/12/10 11:26:23 AM MEZ","Bachelor Computer Science","","more","Because data engineering is a rapidly growing field in computer science","2-3 hours","Yes","","Yes, my expectations were fulfilled.","Yes, especially the python crashcourse.","Official python documentation, library documentation (github) and a bit of stackoverflow.","Intend to use","Intend to use","Intend to use","Unsure","Unsure","Already used","Unsure","No, I won't use it","Unsure","3","The practical part (homeworks).","That almost all groups chosen the same topic at the first project. It should be more equally distributed.","In my opinion, the topcis can be applied in almost all application areas, where enough and meaningful data is available.","","Yes","Yes"
"2018/12/10 12:26:01 PM MEZ","Bachelor Computer Science","","5 semesters","It is a good exercise for my bachelor thesis","more than 7 hours","Yes","","I am sure i learn a lot, which i can use for future work","I think the things we learn about interpreting data where good a preparation, but the data clearing was more difficult","Google as a source for question about python","Intend to use","Intend to use","Intend to use","Unsure","No, I won't use it","Already used","Unsure","Unsure","Unsure","3","That we use material we ""made""","That in the first project we did not know how big the project should be","I agree completly","Perhaps a bit more information about the scope of the first project.","Yes","Yes"
"2018/12/11 1:18:16 PM MEZ","Bachelor Computer Science","","more","needed course","6-7 hours","Yes","","It was the first time that I worked with such a big data set.","Because the weekly exercise sheets taught the needed skills for the projects, in an easily digestible way.","tutorials, blog posts, documentation of APIs, source code (if available on GitHub, etc)","Intend to use","Intend to use","Unsure","Unsure","Unsure","Intend to use","Unsure","Intend to use","Intend to use","3","new perspective","The 2nd projects data set","I can think of some areas, in which I personally can apply the topics taught in the lecture.","The size of the projects needs to be improved (a little)","Yes","Yes"
