"Embedded programming","Web","Visual","Scientific","Modeling","Process","Data","Programming & Software & Development","Engineering","Automation","Computation","Systems"
                     0,   87,       6,          21,         5,       59,     8,                                    19,           18,           3,           34,       14
                    22,   89,      15,          34,         7,       63,    29,                                    29,           23,          26,           46,       42
                    37,   99,      21,          39,         9,       43,    79,                                    40,           33,          27,           62,       47
                      ,   65,      25,          46,        13,       44,    20,                                    45,           78,          28,           93,       52
                      ,   71,      36,          55,        16,       11,      ,                                    53,           60,          55,           92,       75
                      ,   98,      37,          76,        17,         ,      ,                                    64,             ,            ,             ,       95
                      ,     ,      39,          97,        24,         ,      ,                                    66,             ,            ,             ,        4
                      ,     ,      57,          48,        31,         ,      ,                                    78,             ,            ,             ,       10
                      ,     ,      61,          50,        32,         ,      ,                                    12,             ,            ,             ,       69
                      ,     ,      76,          82,        35,         ,      ,                                    30,             ,            ,             ,        1
                      ,     ,      85,          94,        41,         ,      ,                                    38,             ,            ,             ,
                      ,     ,      97,            ,        56,         ,      ,                                    49,             ,            ,             ,
                      ,     ,      96,            ,        58,         ,      ,                                    51,             ,            ,             ,
                      ,     ,        ,            ,        67,         ,      ,                                    54,             ,            ,             ,
                      ,     ,        ,            ,        70,         ,      ,                                    74,             ,            ,             ,
                      ,     ,        ,            ,        72,         ,      ,                                      ,             ,            ,             ,
                      ,     ,        ,            ,        73,         ,      ,                                      ,             ,            ,             ,
                      ,     ,        ,            ,        77,         ,      ,                                      ,             ,            ,             ,
                      ,     ,        ,            ,        80,         ,      ,                                      ,             ,            ,             ,
                      ,     ,        ,            ,        81,         ,      ,                                      ,             ,            ,             ,
                      ,     ,        ,            ,        88,         ,      ,                                      ,             ,            ,             ,
                      ,     ,        ,            ,        91,         ,      ,                                      ,             ,            ,             ,
                      ,     ,        ,            ,          ,         ,      ,                                      ,             ,            ,             ,
                      ,     ,        ,            ,          ,         ,      ,                                      ,             ,            ,             ,
